adjustment_ratio,adjustment_ratio_calc,adjustment_ratio_check,bond_code,bond_name,calc_method,complete,conversion_value,cycle_check,cycle_status,event_type,implementation_date,missing_nodes,new_conv_price,nodes,notes,original_conv_price,premium_rate,premium_rate_calc,premium_rate_check,proposal_date,redemption_price,resolution_date,stock_code,stock_name,total_days,trigger_date
,,,123179,立高转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,95.13,,,,,,,300973,立高食品,0,
,,,127085,韵达转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,11.73,,,,,,,002120,韵达股份,0,
,,,149358,21万科02,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,000002,万科A,0,
,,,22万科05,22万科05,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,000002,万科 A,0,
,,,127102,浙建转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,10.91,,,,,,,002761,浙江建投,0,
,,,127025,冀东转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,13.01,,,,,,,000401,金隅冀东,0,
,,,127038,国微转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,97.3,,,,,,,002049,紫光国微,0,
1.17,,,127031,洋丰转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",16.89,,,17.09,,,,,,,000902,新洋丰,0,
,,,148064,22越控 02,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,2.67,,,,102.67元/张,,600415,广州越秀资本控股集团股份有限公司,0,
,,,118066,统联转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,56.2,,,,,,,688210,深圳市泛海统联精密制造股份有限公司,0,2026-04-03
,,,113701,祥和转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,13.59,,,,,,,603500,祥和实业,0,
,,,123118,惠城转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,300779,青岛惠城环保科技集团股份有限公司,0,
,,,123223,九典转02,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,14.95,,,,,,,300705,九典制药,0,
25.5,,,123150,九强转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",12.3,trigger,,16.48,,,,,,,300406,九强生物,0,2026-04-01
,,,118067,上26转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,32.6,,,,,,,688533,上声电子,0,2026-04-04
,,,123160,泰福转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,300992,泰福泵业,0,
,,,118011,银微转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,688689,银河微电,0,
,,,118041,星球转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,100.86,,688633,星球石墨,0,
,,,128128,齐翔转2,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,,,,,,,,002408,齐翔腾达,0,2025-12-10
,,,127050,麒麟转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,,,,,,,,002984,森麒麟,0,2026-05-23
,,,123250,嘉益转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,79.66,,,,,,,301004,嘉益股份,0,
,,,127017,万青转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,8.53,,,,,,,000789,万年青,0,
,,,148093,22光控01,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,103.43元/张,,,,0,
,,,113656,嘉诚转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,10.35,,,,,,,603535,嘉诚国际,0,
,,,118065,艾为转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,79.83,,,,,,,688798,艾为电子,0,
,,,128135,洽洽转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,55.93,,,,,,,002557,洽洽食品,0,
,,,123071,天能转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",6.70,,,7.47,,,,,,,300569,天能重工,0,
,,,113670,金23转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,37.64,,,,,,,603180,金牌家居,0,
,,,113652,伟22转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,27.27,,,,,,,603568,伟明环保,0,
,,,113682,益丰转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,31.84,,,,,,,603939,益丰药房,0,
,,,123253,永贵转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,300351,永贵电器,0,
,,,148330,23越产02,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,103.1,,,,0,
,,,113647,禾丰转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,10.09,,,,,,,603609,禾丰股份,0,
,,,113650,博22转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,23.15,,,,,,,603916,苏博特,0,2026-05-20
,,,127018,本钢转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,,,,,,,,000761,本钢板材,0,
,,,123216,科顺转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,6.67,,,,,,,300737,科顺股份,0,
,,,149797,22新资01,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,105.4,,,,0,
,,,111009,盛泰转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,10.56,,,,,,,605138,盛泰集团,0,
,,,123214,东宝转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,6.63,,,,,,,300239,东宝生物,0,
,,,110092,三房转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,3.02,,,,,,,600370,三房巷,0,
,,,127053,豪美转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,,,002988,豪美新材,0,
,,,127030,盛虹转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,13.21,,,,,,,000301,东方盛虹,0,
,,,123090,三诺转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,34.46,,,,,,,300298,三诺生物,0,2026-01-06
,,,123171,共同转债,,False,,NORMAL,NORMAL,adjustment,,"proposal,resolution,implementation",,trigger,,,,,,,,,300966,共同药业,0,2026-04-07
,,,127061,美锦转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,5.26,,,,,,,000723,美锦能源,0,
55.87,,,127046,百润转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",20.63,,,46.68,,,,,,,002568,百润股份,0,
,,,127060,湘佳转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,21.13,,,,,,,002982,湘佳股份,0,
,,,123175,百畅转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,20.40,,,,,,,300614,百川畅银,0,
,,,118005,天奈转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,99.09,,,,,,,688116,天奈科技,0,
,,,113625,江山转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,19.84,,,,,,,603208,江山欧派,0,
,,,128127,文科转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,4.42,,,,,,,002775,文科股份,0,
,,,127044,蒙娜转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,19.84,,,,,,,002918,蒙娜丽莎,0,
,,,113638,台21转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,16.19,,,,,,,603055,台华新材,0,
,,,128121,宏川转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,18.56,,,,,,,002930,宏川智慧,0,
,,,123196,正元转02,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,21.93,,,,,,,300645,正元智慧,0,
,,,123168,惠云转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,10.74,,,,,,,300891,惠云钛业,0,
,,,113648,巨星转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,24.86,,,,,,,603477,巨星农牧,0,
,,,123142,申昊转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,33.71,,,,,,,300853,申昊科技,0,
,,,123064,万孚转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,,,,,,,,300482,万孚生物,0,
,,,113693,志邦转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,11.52,,,,,,,603801,志邦家居,0,
,,,21银河Y2,中国银河证券股份有限公司公开发行2021年永续次级债券（第二期）,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,按面值加应付利息（包括所有递延支付的利息及其孳息）,,601881,中国银河,0,
,,,123266,博士转债,,False,,NORMAL,NORMAL,adjustment,,"trigger,proposal,resolution,implementation",,,,30.43,,,,,,,300622,博士眼镜,0,
,,,113673,岱美转债,,False,,NORMAL,NORMAL,redemption,,"trigger,resolution,implementation,result",,,,,,,,,债券面值加当期应计利息,,603730,上海岱美汽车内饰件股份有限公司,0,
